,0,1,2,3,4,5,6,7,8,9
0,0.8611664041878223,0.8427639918765243,0.8350466052421481,0.8311984656659892,0.829087042958753,0.8279952709547691,0.8273628326672444,0.8269670542796488,0.8267831892408605,0.8267396432269916
1,0.7124704048025394,0.6740845788655622,0.6563944043846567,0.6465534556858631,0.640631253456783,0.6368378144997592,0.634451497020999,0.6329111589845146,0.6319160095581963,0.6313706382273543
2,0.6151416935077983,0.5686499302410168,0.5468058901871131,0.5343198389429853,0.526368070347128,0.5211311376935304,0.5176412410579497,0.5150755429195972,0.513431148290263,0.5122211290589134
3,0.5476874324138438,0.49875688327670525,0.47578277698116744,0.4624850486182033,0.45386984004753783,0.4481097937618984,0.4439560449863656,0.4410146873371128,0.43886971236769157,0.43729334001948245
4,0.49814429037546404,0.44918513338484645,0.42628259818996506,0.41295285015858374,0.40431959760311936,0.3983802996742088,0.39413518557370564,0.3910903751369735,0.38871175584476103,0.3870329314690755
5,0.46006676568340565,0.4121090305135327,0.3898244821584769,0.37686809078240674,0.3684879806234777,0.36259643301922523,0.3584477363261039,0.3553289593722592,0.35297593094433466,0.35111511411110913
6,0.4297981078323932,0.38329187929644903,0.3618529560335537,0.3494033765628649,0.3413576810278029,0.3356680694195641,0.33163796996871087,0.3285368510746503,0.3262771875140004,0.3244853861165235
7,0.4050878202711401,0.36021373777263377,0.33970577301173654,0.327833779363335,0.32010132205744474,0.31477762628256717,0.3108666316465653,0.30787704033039826,0.30568878129122046,0.3038915935839579
8,0.384494176224871,0.3412631847499895,0.32182087394485287,0.3104598580855125,0.30312160875529653,0.29800931723177365,0.2942852416000541,0.2914871345073785,0.2894057736085148,0.28767234438636125
9,0.3670433689524874,0.3255078003401399,0.3069132467412236,0.29628206623883224,0.2892430894090051,0.28440830625247215,0.2808846082132741,0.27823361174058653,0.2761927965321817,0.27465732958988875
