,0,1,2,3,4,5,6,7,8,9
0,0.9995988425590245,0.9995699721381945,0.9995055710146237,0.9995231980754093,0.9994832941646066,0.9941915902826597,0.9943479857345606,0.9942531745566492,0.9941720687930621,0.9941018845013918
1,0.9994922719268218,0.9991537099109952,0.9983445334527825,0.9910883134299171,0.9904870251570806,0.9898228900574785,0.9890915768876103,0.9881511673802508,0.9839926568877936,0.9784857494555786
2,0.9991612855446789,0.993757404773828,0.9842220437357326,0.9629865873358633,0.9443297900322776,0.9274408405935194,0.9125373920152564,0.8989359174820023,0.8867721798891914,0.8754265357248143
3,0.997865187899746,0.9758826750660919,0.9399667521936446,0.9090562016063101,0.8824559242928083,0.8599885773825628,0.8398393543691259,0.8223452775102874,0.807051925546118,0.7929185378693193
4,0.9894314190380448,0.9449819250687579,0.8989189754261723,0.8610293270787337,0.8299003880085584,0.8037111783805527,0.7803827255418492,0.7609559877114515,0.743425073918179,0.7279828461659432
5,0.9804673112514174,0.9152551053036574,0.8615193173588847,0.8193077985583582,0.7848371203452471,0.7560812668838451,0.7320488844472733,0.7109222681643101,0.6926204460540686,0.6765787377641229
6,0.9665347939770319,0.887526490637493,0.828475233486214,0.7828578153678817,0.7466886873224128,0.7161554380308922,0.690735559804093,0.6697812822810667,0.6511435468747808,0.6342422083761767
7,0.9501238535244356,0.8621824526813537,0.798824262947828,0.751330663853626,0.7127490359502008,0.682299312986554,0.6571832601610775,0.634774720095225,0.6160501595127645,0.5997276645264881
8,0.9339998274378267,0.8384395172367299,0.7722908824173371,0.7228350141911134,0.6836784218804818,0.652938629721536,0.6270924799981092,0.6053117362613785,0.5866278327838221,0.5703728169609777
9,0.918203420309895,0.8170045223648166,0.747517748645348,0.6972332516885424,0.6584165019042821,0.6270110636636885,0.6017578497427133,0.580058518246408,0.5610040042181209,0.5448813598929838
